# STN;YYYYMMDD;wind;rain;snow;tunder;ice;covid_shock
240;20200111;40;0;0;0;0;0
240;20200111;40;0;0;0;0;0
240;20200111;60;0;0;0;0;0
240;20200111;60;0;0;0;0;0
240;20200111;50;0;0;0;0;0
240;20200111;50;0;0;0;0;0
240;20200111;60;0;0;0;0;0
240;20200111;60;0;0;0;0;0
240;20200111;70;0;0;0;0;0
240;20200111;70;0;0;0;0;0
240;20200111;80;0;0;0;0;0
240;20200111;80;0;0;0;0;0
240;20200111;80;0;0;0;0;0
240;20200111;70;0;0;0;0;0
240;20200111;90;0;0;0;0;0
240;20200111;90;0;0;0;0;0
240;20200111;100;0;0;0;0;0
240;20200111;100;0;0;0;0;0
240;20200111;90;0;0;0;0;0
240;20200111;90;0;0;0;0;0
240;20200111;100;0;0;0;0;0
240;20200111;90;0;0;0;0;0
240;20200111;80;0;0;0;0;0
240;20200111;90;0;0;0;0;0
240;20200112;90;0;0;0;0;0
240;20200112;80;0;0;0;0;0
240;20200112;70;0;0;0;0;0
240;20200112;90;0;0;0;0;0
240;20200112;100;0;0;0;0;0
240;20200112;90;1;0;0;0;0
240;20200112;80;1;0;0;0;0
240;20200112;90;1;0;0;0;0
240;20200112;90;1;0;0;0;0
240;20200112;90;1;0;0;0;0
240;20200112;100;1;0;0;0;0
240;20200112;90;1;0;0;0;0
240;20200112;80;1;0;0;0;0
240;20200112;110;0;0;0;0;0
240;20200112;110;0;0;0;0;0
240;20200112;90;0;0;0;0;0
240;20200112;90;1;0;0;0;0
240;20200112;70;1;0;0;0;0
240;20200112;50;1;0;0;0;0
240;20200112;50;0;0;0;0;0
240;20200112;30;0;0;0;0;0
240;20200112;30;1;0;0;0;0
240;20200112;30;0;0;0;0;0
240;20200112;40;0;0;0;0;0
240;20200113;50;0;0;0;0;0
240;20200113;60;0;0;0;0;0
240;20200113;50;0;0;0;0;0
240;20200113;70;0;0;0;0;0
240;20200113;60;0;0;0;0;0
240;20200113;50;0;0;0;0;0
240;20200113;40;0;0;0;0;0
240;20200113;50;0;0;0;0;0
240;20200113;50;0;0;0;0;0
240;20200113;60;0;0;0;0;0
240;20200113;70;0;0;0;0;0
240;20200113;70;0;0;0;0;0
240;20200113;70;0;0;0;0;0
240;20200113;70;0;0;0;0;0
240;20200113;60;0;0;0;0;0
240;20200113;70;0;0;0;0;0
240;20200113;90;0;0;0;0;0
240;20200113;100;0;0;0;0;0
240;20200113;100;0;0;0;0;0
240;20200113;110;1;0;0;0;0
240;20200113;100;1;0;0;0;0
240;20200113;100;0;0;0;0;0
240;20200113;90;0;0;0;0;0
240;20200113;100;1;0;0;0;0
240;20200114;120;1;0;0;0;0
240;20200114;110;1;0;0;0;0
240;20200114;110;1;0;0;0;0
240;20200114;130;1;0;0;0;0
240;20200114;110;1;0;0;0;0
240;20200114;110;1;0;0;0;0
240;20200114;80;1;0;0;0;0
240;20200114;70;1;0;0;0;0
240;20200114;70;0;0;0;0;0
240;20200114;90;0;0;0;0;0
240;20200114;80;0;0;0;0;0
240;20200114;100;0;0;0;0;0
240;20200114;80;1;0;0;0;0
240;20200114;90;1;0;0;0;0
240;20200114;100;1;0;0;0;0
240;20200114;120;0;0;0;0;0
240;20200114;130;1;0;0;0;0
240;20200114;140;0;0;0;0;0
240;20200114;130;1;0;0;0;0
240;20200114;140;0;0;0;0;0
240;20200114;140;0;0;0;0;0
240;20200114;140;0;0;0;0;0
240;20200114;140;0;0;0;0;0
240;20200114;120;1;0;0;0;0
240;20200115;110;1;0;0;0;0
240;20200115;120;1;0;0;0;0
240;20200115;120;0;0;0;0;0
240;20200115;120;1;0;0;0;0
240;20200115;130;1;0;0;0;0
240;20200115;120;1;0;0;0;0
240;20200115;100;0;0;0;0;0
240;20200115;110;1;0;0;0;0
240;20200115;120;1;0;0;0;0
240;20200115;120;0;0;0;0;0
240;20200115;110;1;0;0;0;0
240;20200115;100;1;0;0;0;0
240;20200115;120;1;0;0;0;0
240;20200115;120;1;0;0;0;0
240;20200115;70;1;0;0;0;0
240;20200115;40;1;0;0;0;0
240;20200115;50;0;0;0;0;0
240;20200115;50;0;0;0;0;0
240;20200115;60;0;0;0;0;0
240;20200115;70;0;0;0;0;0
240;20200115;50;0;0;0;0;0
240;20200115;60;0;0;0;0;0
240;20200115;50;0;0;0;0;0
240;20200115;50;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;60;0;0;0;0;0
240;20200116;60;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;40;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;50;0;0;0;0;0
240;20200116;60;0;0;0;0;0
240;20200116;60;0;0;0;0;0
240;20200116;60;0;0;0;0;0
240;20200116;70;0;0;0;0;0
240;20200116;60;0;0;0;0;0
240;20200116;70;0;0;0;0;0
240;20200116;70;0;0;0;0;0
240;20200116;90;0;0;0;0;0
240;20200116;80;0;0;0;0;0
